,comment,cl_comment,wordlist,emojis,sent,user,mentioned
112,"👇👇👇
:
┊┊┊✥
┊┊✥
┊✥
l👌#سٌـْـُـُـْـُلٌاٌمِ دًوّسٍتُـْـَـٌـُـًـّ عٌزِیُـُـِـّزً
l👌#ًپْسُتِـْـٌـٍـٌـْاٍتٍوّنَ لّاٍیَکَـَـٌـُـْـْ بِـّاّرَوْنٍ
I👌#ْعّـَاٌلِـٍـًـٍـٌـٌـٍـٍـٌـُـٌـِـُـٌـٌیً هَسْـِـَتْـٍیٌ
┊✥
┊┊✥
┊┊┊✥
➖👏➖
┊┊┊┊┊┊┊┊✥
┊┊┊┊┊┊┊┊✥
🌟┈█████
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█
🌟┈█▓💚█.█.█.█.█
🌟┈█▓💚💚💚💚💚.█
🌟┈‌‌█████████
┊┊┊┊┊┊┊┊┊┊┊┊┊✥
┊┊┊┊┊┊┊┊┊┊┊┊┊✥
🌟---███████
🌟---█▓❤️❤️❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟--------█▓❤️█
🌟---█▓❤️❤️❤️█
🌟---███████
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
🌟┈█████------------██‌█
🌟┈█▓💛█-----------█💛‌█
🌟┈█▓💛█---------█💛█
🌟┈█▓💛█-------█💛█
🌟┈█▓💛█----█💛█
🌟┈█▓💛█--█💛█
🌟┈█▓💛█-█💛█
🌟┈█▓💛█---█💛█
🌟┈█▓💛█-----█💛█
🌟┈█▓💛█-------█💛█
🌟┈█▓💛█---------█💛█
🌟┈█▓💛█-----------█💛█
🌟---████--------------███
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
🌟┈█████████
🌟┈█▓💜💜💜💜💜.█
🌟┈█▓💜█.█.█.█.█
🌟┈█▓💜█
🌟┈█▓💜█.█.█.█
🌟┈█▓💜💜💜💜█
🌟┈█▓💜█.█.█.█
🌟┈█▓💜█
🌟┈█▓💜█.█.█.█.‌‌█
🌟┈█▓💜💜💜💜💜.█
🌟┈█████████
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
┊┊┊┊┊┊┊┊┊┊┊┊┊┊✥
➖👏➖
┊┊┊✥
┊┊✥
┊✥
I👌#سٌـْـُـُـْـُلٌاٌمِ دًوّسٍتُـْـَـٌـُـًـّ عٌزِیُـُـِـّزً
l👌#ًپْسُتِـْـٌـٍـٌـْاٍتٍوّنَ لّاٍیَکَـَـٌـُـْـْ بِـّاّرَوْنٍ
l👌#ْعّـَاٌلِـٍـًـٍـٌـٌـٍـٍـٌـُـٌـِـُـٌـٌیً هَسْـِـَتْـٍیٌ ┊✥
┊┊✥
┊┊┊✥",l l l l,"['l', 'l', 'l', 'l']","['👇', '👇', '👇', '👌', '👌', '👌', '➖', '👏', '➖', '🌟', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '🌟', '💚', '💚', '💚', '💚', '💚', '🌟', '🌟', '🌟', '❤', '❤', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '🌟', '❤', '❤', '❤', '🌟', '🌟', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '💛', '💛', '🌟', '🌟', '🌟', '💜', '💜', '💜', '💜', '💜', '🌟', '💜', '🌟', '💜', '🌟', '💜', '🌟', '💜', '💜', '💜', '💜', '🌟', '💜', '🌟', '💜', '🌟', '💜', '🌟', '💜', '💜', '💜', '💜', '💜', '🌟', '➖', '👏', '➖', '👌', '👌', '👌']",neu,ha3an_bal0ch,[]
113,Sizzling & Sexxxy,sizzl sexxxi,"['sizzl', 'sexxxi']",[],neu,ashutoshsrivas,[]
114,🔥,,[],['🔥'],neu,sofiapacheco643,[]
115,Lb,lb,['lb'],[],neu,and.last.night.she.dreamt,[]
116,🙌❤️❤️❤️j,j,['j'],"['🙌', '❤', '❤', '❤']",neu,httpsvt.tiktok.comzgja6ge5w,[]
117,😢,,[],['😢'],neu,httpsvt.tiktok.comzgja6ge5w,[]
118,wife,wife,['wife'],[],neu,eliotdelucia0,[]
119,Lb,lb,['lb'],[],neu,burswood.health,[]
120,Lbbbb,lbbbb,['lbbbb'],[],neu,burswood.health,[]
121,Fiirrsttt,fiirrsttt,['fiirrsttt'],[],neu,burswood.health,[]
122,Roowww,roowww,['roowww'],[],neu,burswood.health,[]
123,Row,row,['row'],[],neu,burswood.health,[]
124,Lb fast,lb fast,"['lb', 'fast']",[],neu,blkearthseaspirits,[]
125,Lb,lb,['lb'],[],neu,blkearthseaspirits,[]
126,Row,row,['row'],[],neu,blkearthseaspirits,[]
127,Lb fast,lb fast,"['lb', 'fast']",[],neu,blkearthseaspirits,[]
128,Lb if you love food 😍,lb love food,"['lb', 'love', 'food']",['😍'],pos,blkearthseaspirits,[]
129,6 rows,6 row,"['6', 'row']",[],neu,blkearthseaspirits,[]
130,Lb row,lb row,"['lb', 'row']",[],neu,blkearthseaspirits,[]
131,Row,row,['row'],[],neu,blkearthseaspirits,[]
132,Lb,lb,['lb'],[],neu,blkearthseaspirits,[]
133,👏,,[],['👏'],neu,blkearthseaspirits,[]
134,firstyy 😍😍😍,firstyy,['firstyy'],"['😍', '😍', '😍']",neu,marisolbalderass,[]
135,lblblbbbb🔥🔥,lblblbbbb,['lblblbbbb'],"['🔥', '🔥']",neu,marisolbalderass,[]
136,Pmo,pmo,['pmo'],[],neu,mamiluvchris,[]
137,Why don't you take pictures with a booker?,nt take pictur booker,"['nt', 'take', 'pictur', 'booker']",[],neu,_nbayoung92_,[]
138,Lb row instantly,lb row instantli,"['lb', 'row', 'instantli']",[],neu,makemeuphomedecor,[]
139,Row instantly,row instantli,"['row', 'instantli']",[],neu,makemeuphomedecor,[]
140,Row instantly,row instantli,"['row', 'instantli']",[],neu,makemeuphomedecor,[]
141,@sbsiseher mesajlara bakma şansın var ? 🙏🏼,mesajlara bakma ansn var,"['mesajlara', 'bakma', 'ansn', 'var']","['🙏', '🏼']",neu,fashionstyleestreet,['sbsiseher']
142,@sbsiseher DM 🙏🏼,dm,['dm'],"['🙏', '🏼']",neu,fashionstyleestreet,['sbsiseher']
143,🔥🔥,,[],"['🔥', '🔥']",neu,jagdishpanwar2608gmail.com8,[]
144,"make love to me if you love yourself deeply i love you deeply wild romantic passionate orgasmic art
HUMAN BEINGS NEED LOVE AND EMPATHY, HELP, KINDNESS, LOYALTY, INTELLIGENCE FROM OTHER PEOPLE",make love love deepli love deepli wild romant passion orgasm art human be need love empathi help kind loyalti intellig peopl,"['make', 'love', 'love', 'deepli', 'love', 'deepli', 'wild', 'romant', 'passion', 'orgasm', 'art', 'human', 'be', 'need', 'love', 'empathi', 'help', 'kind', 'loyalti', 'intellig', 'peopl']",[],pos,conciencia_profunda_vibracion,[]
145,Cfc,cfc,['cfc'],[],neu,jenncoello16,[]
146,😍😍😍,,[],"['😍', '😍', '😍']",neu,jenncoello16,[]
147,Likess,likess,['likess'],[],neu,jenncoello16,[]
148,The Jenner sisters 😍😍,jenner sister,"['jenner', 'sister']","['😍', '😍']",neu,dubonheur_elion_,[]
149,lblb,lblb,['lblb'],[],neu,magggie_louu,[]
150,lblb,lblb,['lblb'],[],neu,magggie_louu,[]
151,肯豆叫我瘦到100斤,100,['100'],[],neu,we.ndy8807,[]
152,😍😍😍😍,,[],"['😍', '😍', '😍', '😍']",neu,farmar_life003,[]
153,precede,preced,['preced'],[],neu,ch.andran6655,[]
154,miniature,miniatur,['miniatur'],[],neu,uriukinanadezhda,[]
155,hour,hour,['hour'],[],neu,lusyjaebae,[]
156,good,good,['good'],[],neu,onkhannanova,[]
157,😍,,[],['😍'],neu,lalubambangselamat,[]
158,🔥🔥🔥🔥🔥🔥🔥🔥🔥👏👏👏🙌🙌🙌😍😍😍😍,,[],"['🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '👏', '👏', '👏', '🙌', '🙌', '🙌', '😍', '😍', '😍', '😍']",neu,wagnermartins410,[]
159,Uma mais bela do q a outra mais as duas são maravilhosas e muito sexy,uma mai bela q outra mai dua maravilhosa e muito sexi,"['uma', 'mai', 'bela', 'q', 'outra', 'mai', 'dua', 'maravilhosa', 'e', 'muito', 'sexi']",[],neu,wagnermartins410,[]
160,bake,bake,['bake'],[],neu,dayvonn.176,[]
161,health,health,['health'],[],neu,skatervasia,[]
162,"𝑯𝒆𝒚, 𝒔𝒆𝒆 𝒎𝒚 𝒍𝒂𝒔𝒕 𝒓𝒆𝒆𝒍 💓☺️",,[],"['💓', '☺']",neu,paullinhaschmitt,[]
163,Mmcaio. Mmcaip❤️,mmcaio mmcaip,"['mmcaio', 'mmcaip']",['❤'],neu,mmcaio8,[]
164,Rows,row,['row'],[],neu,hempavida,[]
165,Cb,cb,['cb'],[],neu,hempavida,[]
166,Lb,lb,['lb'],[],neu,hempavida,[]
167,INSTANT LB✨,instant lb,"['instant', 'lb']",['✨'],neu,chachimochii,[]
168,who who who who,,[],[],neu,im.the.helicopter.man,[]
169,ooh,ooh,['ooh'],[],neu,im.the.helicopter.man,[]
170,elderly,elderli,['elderli'],[],neu,marinakraft18,[]
171,#SDV #foy #followｍe p,sdv foy follow p,"['sdv', 'foy', 'follow', 'p']",[],neu,tacila.st,[]
172,recess,recess,['recess'],[],neu,clemdukssy,[]
173,you went to his game and play as ass for the helicopter man who  Devin Booker the paparazzi  I see you got  Kylie right  there play as ass for the helicopter man ooouuu,went game play ass helicopt man devin booker paparazzi see got kyli right play ass helicopt man ooouuu,"['went', 'game', 'play', 'ass', 'helicopt', 'man', 'devin', 'booker', 'paparazzi', 'see', 'got', 'kyli', 'right', 'play', 'ass', 'helicopt', 'man', 'ooouuu']",[],neu,im.the.helicopter.man,[]
174,rabbit,rabbit,['rabbit'],[],neu,chateau_de_cor,[]
175,nine,nine,['nine'],[],neu,kugushev84,[]
176,pathetic,pathet,['pathet'],[],neu,prikaztatiana,[]
177,second-hand,secondhand,['secondhand'],[],neu,f0lil,[]
178,Banasur Instagram,banasur instagram,"['banasur', 'instagram']",[],neu,gaddamidhi.srilatha,[]
179,❤️❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍🔥,,[],"['❤', '❤', '❤', '❤', '❤', '❤', '❤', '❤', '❤', '😍', '😍', '😍', '😍', '😍', '😍', '🔥']",neu,el_trabajador24,[]
180,❤️,,[],['❤'],neu,saclo0,[]
181,reject,reject,['reject'],[],neu,nata2475v,[]
182,three,three,['three'],[],neu,rigos.950,[]
183,challenge,challeng,['challeng'],[],neu,missalisax,[]
184,follow,follow,['follow'],[],neu,atowings,[]
185,Lbbb,lbbb,['lbbb'],[],neu,jj.enggggg,[]
186,Row,row,['row'],[],neu,jj.enggggg,[]
187,"❤️❤️❤️🙏🏽🙏🏽🙏🏽🧘‍♀️🧘‍♀️🧘‍♀️
Please hit me up in my DM
I have one question for you sister",pleas hit dm one question sister,"['pleas', 'hit', 'dm', 'one', 'question', 'sister']","['❤', '❤', '❤', '🙏', '🏽', '🙏', '🏽', '🙏', '🏽', '🧘', '♀', '🧘', '♀', '🧘', '♀']",neu,orissaqueen,[]
188,bite-sized,bites,['bites'],[],neu,p.munaswamy,[]
189,Lblb,lblb,['lblb'],[],neu,tuclisi,[]
190,Lblb ❤️❤️,lblb,['lblb'],"['❤', '❤']",neu,tuclisi,[]
191,wrong,wrong,['wrong'],[],neu,praka3884,[]
192,Lblb ❤️❤️,lblb,['lblb'],"['❤', '❤']",neu,tuclisi,[]
193,flow,flow,['flow'],[],neu,nishayadav322,[]
194,Hii,hii,['hii'],[],neu,parveen_2529,[]
195,Hio,hio,['hio'],[],neu,parveen_2529,[]
196,好好好,,[],[],neu,hanyue666888,[]
197,blue-eyed,blueey,['blueey'],[],neu,si.taram17,[]
198,lb and cb,lb cb,"['lb', 'cb']",[],neu,howie_everland,[]
199,3x3,3x3,['3x3'],[],neu,cherryraemccullagh,[]
200,3x3,3x3,['3x3'],[],neu,cherryraemccullagh,[]
201,🔥🔥🔥🔥🔥,,[],"['🔥', '🔥', '🔥', '🔥', '🔥']",neu,geraldinmore,[]
202,low,low,['low'],[],neu,prince_nagar7,[]
203,government,govern,['govern'],[],neu,busy8860,[]
204,racial,racial,['racial'],[],neu,shivaraj.ramesh.salunk,[]
205,❤️❤️,,[],"['❤', '❤']",neu,bilals_jewlery1,[]
206,Lb,lb,['lb'],[],neu,danielaichiyanagui,[]
207,Lb,lb,['lb'],[],neu,danielaichiyanagui,[]
208,kind,kind,['kind'],[],pos,rli1mma,[]
209,Beautiful sexy ladie,beauti sexi ladi,"['beauti', 'sexi', 'ladi']",[],neu,vetterwilliamj,[]
210,Lb,lb,['lb'],[],neu,kat.givens,[]
211,R😍w,rw,['rw'],['😍'],neu,jenncoello16,[]
212,"پویش همدلانه برای کمک به حداقل صد هزار نفر از هموطنان مومن و کمتر برخوردار در قالب اطعام و اهدای بسته های کمک معیشتی
شماره کارت:
6037-9974-1709-0017
بنیاد خیریه یاس بقیه الله اعظم (عج)",6037997417090017,['6037997417090017'],[],neu,dalida.jewelry,[]
213,uneven,uneven,['uneven'],[],neu,pepel.lena,[]
214,"Hi, are you going „Rumpelstilzchen“ in the next minutes?",hi go rumpelstilzchen next minut,"['hi', 'go', 'rumpelstilzchen', 'next', 'minut']",[],neu,pascalrechtien,[]
215,Lb,lb,['lb'],[],neu,abrhameosorio,[]
216,LBBBBBBBB,lbbbbbbbb,['lbbbbbbbb'],[],neu,scarlettsaldana,[]
217,👏👏👏,,[],"['👏', '👏', '👏']",neu,_____tammylee,[]
218,Gorgeous!!,gorgeou,['gorgeou'],[],neu,cmahecha32,[]
219,Lblblb,lblblb,['lblblb'],[],neu,rachelllmarie,[]
220,Lb,lb,['lb'],[],neu,rachelllmarie,[]
221,Lbb,lbb,['lbb'],[],neu,rachelllmarie,[]
222,Lb,lb,['lb'],[],neu,kat.givens,[]
223,🔥,,[],['🔥'],neu,aarvindlds,[]
224,❤️,,[],['❤'],neu,gabriele__16,[]
225,Kendall is the least interesting of the sisters. It's almost like she's not in the family.,kendal least interest sister almost like famili,"['kendal', 'least', 'interest', 'sister', 'almost', 'like', 'famili']",[],neu,laurenptg38,[]
226,Lb,lb,['lb'],[],neu,danielaichiyanagui,[]
227,Lb,lb,['lb'],[],neu,danielaichiyanagui,[]
228,Lb,lb,['lb'],[],neu,danielaichiyanagui,[]
229,Lb,lb,['lb'],[],neu,danielaichiyanagui,[]
230,Lb,lb,['lb'],[],neu,danielaichiyanagui,[]
231,Helo super I like u,helo super like u,"['helo', 'super', 'like', 'u']",[],pos,tashnandu123,[]
232,Ur perfect 😍,ur perfect,"['ur', 'perfect']",['😍'],pos,ur_mothers_toe_jam,[]
233,💜,,[],['💜'],neu,limmmmmmmmmmmmmmmmm_,[]
234,😍😍😍😍,,[],"['😍', '😍', '😍', '😍']",neu,yadwindersingh19803961,[]
235,so brave huaaaaggggghjhjj,brave huaaaaggggghjhjj,"['brave', 'huaaaaggggghjhjj']",[],pos,jimarcus98,[]
236,"THATS BETTER THEN OTHER PIC WITH RIPPED PIECES BARELY THERE,",that better pic rip piec bare,"['that', 'better', 'pic', 'rip', 'piec', 'bare']",[],neu,klr.44.1966,[]
237,Lbbbbbb,lbbbbbb,['lbbbbbb'],[],neu,beachglassgems,[]
238,LB instant ✨,lb instant,"['lb', 'instant']",['✨'],neu,beachglassgems,[]
239,LB,lb,['lb'],[],neu,beachglassgems,[]
240,Lbbb,lbbb,['lbbb'],[],neu,rachelllmarie,[]
241,Lblblb,lblblb,['lblblb'],[],neu,rachelllmarie,[]
242,Hai😍😍,hai,['hai'],"['😍', '😍']",neu,mvjisna,[]
243,Lb,lb,['lb'],[],neu,kat.givens,[]
244,Lb,lb,['lb'],[],neu,trin_vdb6,[]
245,Give us a follow? Daily puppy content 🥰🥺🐾🐕 @pearlgsd #germanshepherdpuppy,give us follow daili puppi content germanshepherdpuppi,"['give', 'us', 'follow', 'daili', 'puppi', 'content', 'germanshepherdpuppi']","['🥰', '🥺', '🐾', '🐕']",neu,pearlgsd,['pearlgsd']
246,Lb,lb,['lb'],[],neu,kat.givens,[]
247,1st lbbbb,1st lbbbb,"['1st', 'lbbbb']",[],neu,sonam.schaffer,[]
248,What’s the name of the track doe?🫠,name track doe,"['name', 'track', 'doe']",['\U0001fae0'],neu,bow.leng,[]
249,❤️❤️,,[],"['❤', '❤']",neu,lisizquierdoal,[]
250,🔥🔥0,0,['0'],"['🔥', '🔥']",neu,lisizquierdoal,[]
251,😍😍,,[],"['😍', '😍']",neu,lisizquierdoal,[]
252,i love you because you love yourself you are intelligent talented passionate incredible legendary beautiful sexy orgasmic passionate cheerful happy,love love intellig talent passion incred legendari beauti sexi orgasm passion cheer happi,"['love', 'love', 'intellig', 'talent', 'passion', 'incred', 'legendari', 'beauti', 'sexi', 'orgasm', 'passion', 'cheer', 'happi']",[],pos,conciencia_profunda_vibracion,[]
253,1sts 🔥,1st,['1st'],['🔥'],neu,usyed22,[]
254,i love you because you love yourself you are intelligent talented passionate incredible legendary beautiful sexy orgasmic passionate cheerful happy,love love intellig talent passion incred legendari beauti sexi orgasm passion cheer happi,"['love', 'love', 'intellig', 'talent', 'passion', 'incred', 'legendari', 'beauti', 'sexi', 'orgasm', 'passion', 'cheer', 'happi']",[],pos,conciencia_profunda_vibracion,[]
255,Pretty girl,pretti girl,"['pretti', 'girl']",[],neu,kkkpaja,[]
256,Follow,follow,['follow'],[],neu,geritakipgelx,[]
257,❤️❤️❤️,,[],"['❤', '❤', '❤']",neu,nyoman.santika.56679,[]
258,هااااي,,[],[],neu,bwlmjnwny,[]
259,🔥,,[],['🔥'],neu,alwassteve,[]
