,comment,cl_comment,wordlist,emojis,sent,user,mentioned
19,Beautiful ❤️,beauti,['beauti'],['❤'],neu,itzluna.iba,[]
20,Se aplica serio sobre el rostro maquillado ⁉️😲😲,aplica serio rostro maquillado,"['aplica', 'serio', 'rostro', 'maquillado']","['⁉', '😲', '😲']",neu,sonia_fabero72,[]
21,@sonia_fabero72 SERUM,serum,['serum'],[],neu,sonia_fabero72,['sonia_fabero72']
22,Todo para nada los años no perdona,ao perdona,"['ao', 'perdona']",[],neu,miguelangelgarciacamacho5,[]
23,Mas perfecta imposible,ma perfecta impos,"['ma', 'perfecta', 'impos']",[],pos,el_caballero_2000,[]
24,Son Oscar Mayer o Campofrio? Ni oficio ni beneficio,oscar mayer campofrio oficio beneficio,"['oscar', 'mayer', 'campofrio', 'oficio', 'beneficio']",[],neu,bollinger76,[]
25,Guapísima reina!!!,guapsima reina,"['guapsima', 'reina']",[],neu,pitota3,[]
26,Sexy,sexi,['sexi'],[],neu,akb2.001,[]
27,Hermosa ❤️👏👏👏👏,hermosa,['hermosa'],"['❤', '👏', '👏', '👏', '👏']",pos,linasantana23,[]
28,❤️❤️❤️,,[],"['❤', '❤', '❤']",neu,nathfea,[]
29,A eso se le llama express...??? .....si lleva más capas q una puerta.!!!!...en ese tiempo tengo la casa casi limpia...uff q pereza...,llama express si lleva ms capa q puerta tiempo casa casi limpia uff q pereza,"['llama', 'express', 'si', 'lleva', 'ms', 'capa', 'q', 'puerta', 'tiempo', 'casa', 'casi', 'limpia', 'uff', 'q', 'pereza']",[],neu,belu.ainss,[]
30,Guapísima siempre😍❤️,guapsima siempr,"['guapsima', 'siempr']","['😍', '❤']",neu,carlinhosjr_1705,[]
31,"No te hace falta,tu genética es buena.😍",hace falta gentica buena,"['hace', 'falta', 'gentica', 'buena']",['😍'],neg,ariasalaguero,[]
32,Chicas se coge práctica.yo me maquillo ya en pico tiempo.antes demoraba una hora,chica coge prcticayo maquillo pico tiempoant demoraba hora,"['chica', 'coge', 'prcticayo', 'maquillo', 'pico', 'tiempoant', 'demoraba', 'hora']",[],neg,benitezmarthasuarez,[]
33,Pero comoooo puedes ser tan guapaaaaaa,comoooo pued ser tan guapaaaaaa,"['comoooo', 'pued', 'ser', 'tan', 'guapaaaaaa']",[],neg,sarashernandez,[]
34,استورب,,[],[],neu,pkkk7948,[]
35,Donde te has operado@la cara?,operado cara,"['operado', 'cara']",[],neg,c_cruz_garcia,['la']
36,Parece de porcelana . pero está fantástica 😍👍❤️,parec porcelana est fantstica,"['parec', 'porcelana', 'est', 'fantstica']","['😍', '👍', '❤']",neu,margariperezgarcias,[]
37,💕💕💕🥰,,[],"['💕', '💕', '💕', '🥰']",neu,bioderma_es,[]
38,Guapaaaaaa,guapaaaaaa,['guapaaaaaa'],[],neu,_k__e__n__i__a,[]
39,Preciosa😍podrías subir los productos!!,preciosapodra subir producto,"['preciosapodra', 'subir', 'producto']",['😍'],neg,lore_30,[]
40,Vaya morros 😲😲😲😲😲,vaya morro,"['vaya', 'morro']","['😲', '😲', '😲', '😲', '😲']",neg,marilazarotorre,[]
41,😮😮😮🔥🔥🔥,,[],"['😮', '😮', '😮', '🔥', '🔥', '🔥']",neu,evaperezferrero,[]
42,"Seria Bueno poner l'as marcas Delàs pinturas,porq claror,no todas nos dejaria haci jajaja",seria bueno poner marca del pintura porq claror toda dejaria haci jajaja,"['seria', 'bueno', 'poner', 'marca', 'del', 'pintura', 'porq', 'claror', 'toda', 'dejaria', 'haci', 'jajaja']",[],neg,elenarrlanzarote,[]
43,Estas muy guapa. Pero decir maquillaje express es un poco fuerte. Si tengo que aplicar los 13 o 14 pasos que realizas no llegaría jamás temprano a mi trabajo. 😢,guapa decir maquillaj express fuert si aplicar 13 14 paso realiza llegara jam temprano trabajo,"['guapa', 'decir', 'maquillaj', 'express', 'fuert', 'si', 'aplicar', '13', '14', 'paso', 'realiza', 'llegara', 'jam', 'temprano', 'trabajo']",['😢'],neg,iraizapedroso,[]
44,Pilar!!! Investiga en los músculos faciales... Para evitar las contracturas musculares orbioculares y faciales (arrugas) con esos movimientos se provocan y están mal hechos.... Yoga facial y estructura muscular 😜,pilar investiga msculo facial evitar contractura muscular orbiocular facial arruga movimiento provocan estn mal hecho yoga facial estructura muscular,"['pilar', 'investiga', 'msculo', 'facial', 'evitar', 'contractura', 'muscular', 'orbiocular', 'facial', 'arruga', 'movimiento', 'provocan', 'estn', 'mal', 'hecho', 'yoga', 'facial', 'estructura', 'muscular']",['😜'],neg,piopiomiau,[]
45,"Aunque la belleza es algo subjetivo, sinceramente creo que no existe una mujer más bonita en toda la faz de la tierra. ❤️",aunqu belleza subjetivo sincerament creo exist mujer ms bonita toda faz tierra,"['aunqu', 'belleza', 'subjetivo', 'sincerament', 'creo', 'exist', 'mujer', 'ms', 'bonita', 'toda', 'faz', 'tierra']",['❤'],neg,raquereich,[]
46,👏👏 eres una mujer muy bella,mujer bella,"['mujer', 'bella']","['👏', '👏']",neg,gonzalezhasel,[]
47,De verdad se acuerda de todos loa potingues que se tiene que poner? Es imposible saber cuál es cuál por dios....!!,verdad acuerda loa potingu poner impos saber cul cul dio,"['verdad', 'acuerda', 'loa', 'potingu', 'poner', 'impos', 'saber', 'cul', 'cul', 'dio']",[],neg,pikaraluis,[]
48,"No es muy buena ese agua micelar si sigue maquillada después de darse con ella, no??😮😂",buena agua micelar si sigu maquillada despu dars,"['buena', 'agua', 'micelar', 'si', 'sigu', 'maquillada', 'despu', 'dars']","['😮', '😂']",neg,pikaraluis,[]
49,Siempre guapísima Pilar 😍😍😍😍😍😍😍😍😍😍😍😍😍,siempr guapsima pilar,"['siempr', 'guapsima', 'pilar']","['😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍']",neu,hcancer,[]
50,@marisol_izga @rereagge @martareyes77 👌,,[],['👌'],neu,flohego,"['marisol_izga', 'rereagge', 'martareyes77']"
51,Te admiraba muchísimo tu belleza tu stilo pero el trabajo de tu boca para mi opinion personal no gusta as cambiado un montón cariño  un montón con todo mis respetos eres preciosa pero ....,admiraba muchsimo belleza stilo trabajo boca opinion person gusta as cambiado montn cario montn respeto preciosa,"['admiraba', 'muchsimo', 'belleza', 'stilo', 'trabajo', 'boca', 'opinion', 'person', 'gusta', 'as', 'cambiado', 'montn', 'cario', 'montn', 'respeto', 'preciosa']",[],neg,aishahernandez2678,[]
52,❤️❤️❤️❤️❤️,,[],"['❤', '❤', '❤', '❤', '❤']",neu,diolga.ph9,[]
53,❤️ que bonita .,bonita,['bonita'],['❤'],pos,m.isabelita2000,[]
54,"Gracias por enseñarnos como maquillarnos. Ahora me gusta mas tu pelo y ese maquillaje es perfecto para tu belleza, besitos.",gracia ensearno maquillarno ahora gusta ma pelo maquillaj perfecto belleza besito,"['gracia', 'ensearno', 'maquillarno', 'ahora', 'gusta', 'ma', 'pelo', 'maquillaj', 'perfecto', 'belleza', 'besito']",[],pos,silvialinamunozhidalgo,[]
55,Yanga chiroylisz gap yoqq,yanga chiroylisz gap yoqq,"['yanga', 'chiroylisz', 'gap', 'yoqq']",[],neu,eldor_lutfullaev_,[]
56,Q arte!!!,q art,"['q', 'art']",[],neu,luisabel1999,[]
57,Con tanto retoque y dinerito yo también tendría media docena de hijos....,retoqu dinerito tambin tendra media docena hijo,"['retoqu', 'dinerito', 'tambin', 'tendra', 'media', 'docena', 'hijo']",[],neg,macanile1960,[]
58,Hay que ver lo que hace tener calderilla de la buena.......😂,ver hace tener calderilla buena,"['ver', 'hace', 'tener', 'calderilla', 'buena']",['😂'],neg,macanile1960,[]
59,Toop,toop,['toop'],[],neu,lawaxguparap5,[]
60,"De verdad, ¿secreto de belleza???, tratais a las personas como si fuesemos idiotas, estas operada a saco, maquilladas ya pestañas, raya del ojo y cejas.... que lo quereis hacer, perfecto, cada uno hace lo que quiere con su cuerpo, pero que vendais esto como un secreto natural...., que poquita vergüenza!!!!",verdad secreto belleza tratai persona si fuesemo idiota operada saco maquillada pestaa raya ojo ceja querei hacer perfecto cada hace quier cuerpo vendai secreto natur poquita vergenza,"['verdad', 'secreto', 'belleza', 'tratai', 'persona', 'si', 'fuesemo', 'idiota', 'operada', 'saco', 'maquillada', 'pestaa', 'raya', 'ojo', 'ceja', 'querei', 'hacer', 'perfecto', 'cada', 'hace', 'quier', 'cuerpo', 'vendai', 'secreto', 'natur', 'poquita', 'vergenza']",[],neg,marilis_carrizo,[]
61,Con lo que te pongas reina 🤩🤩,ponga reina,"['ponga', 'reina']","['🤩', '🤩']",neu,rakelmama3.love,[]
62,Lo que impacta es tu mirada😱😱,impacta mirada,"['impacta', 'mirada']","['😱', '😱']",neu,elmesiasc,[]
63,Con tantas cirugías que tiene no le hace falta maquillarse. Eso es para nosotras las pobres y normales😂,tanta ciruga hace falta maquillars pobr normal,"['tanta', 'ciruga', 'hace', 'falta', 'maquillars', 'pobr', 'normal']",['😂'],neg,necttym,[]
64,"Fabulous! So inspiring 😍😍😍 te amamos, Pilar ❤️🔥❤️",fabul so inspir amamo pilar,"['fabul', 'so', 'inspir', 'amamo', 'pilar']","['😍', '😍', '😍', '❤', '🔥', '❤']",neu,meg_shanghai,[]
65,Que guapa x Dios! 😍😍,guapa x dio,"['guapa', 'x', 'dio']","['😍', '😍']",neu,paquimihu,[]
66,Eres espectacular 😍,espectacular,['espectacular'],['😍'],pos,elrincondegema_,[]
67,No t hagas nada en la cara q no lo necesitas. Eres guapísima y t vas a desgraciar,t haga cara q necesita guapsima t va desgraciar,"['t', 'haga', 'cara', 'q', 'necesita', 'guapsima', 't', 'va', 'desgraciar']",[],neg,devillanuevasuarez,[]
68,😍😍,,[],"['😍', '😍']",neu,tulygla,[]
69,"El serum no se aplica la pipeta directamente al rostro, se aplica en la mano y luego te lo masajeas. De esta forma no contaminas el producto. Las bacterias de tu rostro las introduces en el bote otra vez....",serum aplica pipeta directament rostro aplica mano luego masajea forma contamina producto bacteria rostro introduc bote vez,"['serum', 'aplica', 'pipeta', 'directament', 'rostro', 'aplica', 'mano', 'luego', 'masajea', 'forma', 'contamina', 'producto', 'bacteria', 'rostro', 'introduc', 'bote', 'vez']",[],neg,brujita_veron,[]
70,Una hora de maquillaje no es express,hora maquillaj express,"['hora', 'maquillaj', 'express']",[],neg,lidia_caruso1,[]
71,"Pero se está desmaquillando y no se le va el maquillaje? Que raro, creo que está maquillada permanentemente",est desmaquillando va maquillaj raro creo est maquillada permanentement,"['est', 'desmaquillando', 'va', 'maquillaj', 'raro', 'creo', 'est', 'maquillada', 'permanentement']",[],neg,puri.jara,[]
72,😮😮😮😮😮❤️,,[],"['😮', '😮', '😮', '😮', '😮', '❤']",neu,amit.yadav9703,[]
73,😍😍😍,,[],"['😍', '😍', '😍']",neu,shalev_ohayon555,[]
74,Express joder yo con tres niño dudo que me maquille así exprés 😂😂 me maquillo exprés si pero solo la línia de los ojos y arreando,express joder tre nio dudo maquil as expr maquillo expr si solo lnia ojo arreando,"['express', 'joder', 'tre', 'nio', 'dudo', 'maquil', 'as', 'expr', 'maquillo', 'expr', 'si', 'solo', 'lnia', 'ojo', 'arreando']","['😂', '😂']",neg,nenitah89,[]
75,You are so beautiful. ❤,you are so beauti,"['you', 'are', 'so', 'beauti']",['❤'],neu,miladjamriz,[]
76,🙌🙌🙌🙌,,[],"['🙌', '🙌', '🙌', '🙌']",neu,garbineabasolo,[]
77,Siempre guapa! Pero es verdad te has pasado con los labios,siempr guapa verdad pasado labio,"['siempr', 'guapa', 'verdad', 'pasado', 'labio']",[],neg,eleferreira2,[]
78,Me encanta pero con esa cara no necesitas ningún maquillaje 💄💋👑,encanta cara necesita ningn maquillaj,"['encanta', 'cara', 'necesita', 'ningn', 'maquillaj']","['💄', '💋', '👑']",neg,maripazsb,[]
79,"Que lastima ver lo artificial que te estás dejando  la cara Pilar, eres una mujer tan guapa y unas facciones tan bonitas.... Es una verdadera pena que no te des cuenta😔",lastima ver artifici est dejando cara pilar mujer tan guapa una faccion tan bonita verdadera pena de cuenta,"['lastima', 'ver', 'artifici', 'est', 'dejando', 'cara', 'pilar', 'mujer', 'tan', 'guapa', 'una', 'faccion', 'tan', 'bonita', 'verdadera', 'pena', 'de', 'cuenta']",['😔'],neg,jenn_nomad,[]
80,🙌🙌❤️,,[],"['🙌', '🙌', '❤']",neu,natbusu,[]
81,Que forma de engañar a la gente 🤣🤣🤣🤣🤣🤣🤣,forma engaar gent,"['forma', 'engaar', 'gent']","['🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']",neg,domimartinmartin,[]
82,😍😍,,[],"['😍', '😍']",neu,lalaeuno,[]
83,Me encantoooo!🔥 menos mal que de los haters también se vive……🙌,encantoooo meno mal hater tambin vive,"['encantoooo', 'meno', 'mal', 'hater', 'tambin', 'vive']","['🔥', '🙌']",neg,tugoodtubetrue,[]
84,Guapa 😍,guapa,['guapa'],['😍'],neu,drangelachamorro,[]
85,Donde te rellenan los labios porfi🙏,rellenan labio porfi,"['rellenan', 'labio', 'porfi']",['🙏'],neu,angelesssss123,[]
86,Eso es antes o después de operarse,despu operars,"['despu', 'operars']",[],neu,bympardel,[]
87,Pero si ya vas maquillada 🤣,si va maquillada,"['si', 'va', 'maquillada']",['🤣'],neg,danna_gibson_,[]
88,"Jaja vaya cree que somos tontas, jaja",jaja vaya cree tonta jaja,"['jaja', 'vaya', 'cree', 'tonta', 'jaja']",[],neg,jaquelineaguilarrodriguez,[]
89,😂😂😂😂,,[],"['😂', '😂', '😂', '😂']",neu,angelinabyshina,[]
90,"No entiendo lo del agua micelar al principio del maquillaje. Tengo entendido que después del agua hay q lavar siempre con un gel, jabón. Pues el agua actúa como jabón y eso hace q no quede limpia del todo la piel… si alguien sabe, me gustaría saber si es correcto el uso del agua en este caso o yo lo estoy haciendo mal.",entiendo agua micelar principio maquillaj entendido despu agua q lavar siempr gel jabn pue agua acta jabn hace q qued limpia piel si alguien sabe gustara saber si correcto uso agua caso haciendo mal,"['entiendo', 'agua', 'micelar', 'principio', 'maquillaj', 'entendido', 'despu', 'agua', 'q', 'lavar', 'siempr', 'gel', 'jabn', 'pue', 'agua', 'acta', 'jabn', 'hace', 'q', 'qued', 'limpia', 'piel', 'si', 'alguien', 'sabe', 'gustara', 'saber', 'si', 'correcto', 'uso', 'agua', 'caso', 'haciendo', 'mal']",[],neg,_rron96,[]
91,Que manía tenéis las guapas en poneros feas con tanto retoque estético...que obsesión teneis sobre todo con el aumento de labios.,mana teni guapa ponero fea retoqu esttico obsesin tenei aumento labio,"['mana', 'teni', 'guapa', 'ponero', 'fea', 'retoqu', 'esttico', 'obsesin', 'tenei', 'aumento', 'labio']",[],neu,peedritoodicoo,[]
92,"Estás guapísima con ese color de pelo y las mechas preciosas, me encanta 😍",est guapsima color pelo mecha preciosa encanta,"['est', 'guapsima', 'color', 'pelo', 'mecha', 'preciosa', 'encanta']",['😍'],pos,chahira_sarah,[]
93,"Empiezas a cambiar tu cara, con los retoques estéticos. No los necesitas , eres guapa sin ningún retoque",empieza cambiar cara retoqu esttico necesita guapa ningn retoqu,"['empieza', 'cambiar', 'cara', 'retoqu', 'esttico', 'necesita', 'guapa', 'ningn', 'retoqu']",[],neg,marguiiiii662501,[]
94,"Pilar te pasaste con tu boca,estabas más guapa y natural como eras tú antes....ahora se ve que no es tu boca",pilar pasast boca ms guapa natur t ahora ve boca,"['pilar', 'pasast', 'boca', 'ms', 'guapa', 'natur', 't', 'ahora', 've', 'boca']",[],neg,beabea5296,[]
95,Vaya labios más horrorosos,vaya labio ms horroroso,"['vaya', 'labio', 'ms', 'horroroso']",[],neg,laura_iz_ca,[]
96,@isaloza84  petite routine de 20min lol..pero que guapa ❤️❤️❤️,petit routin 20min lol guapa,"['petit', 'routin', '20min', 'lol', 'guapa']","['❤', '❤', '❤']",neu,epazmayor,['isaloza84']
97,"Pilar, cariño, para ya de operaciones por favor! Stop! No te había reconocido😢. Eras monísima pero te vas pareciendo a una teleñeca chochona, por qué😢?",pilar cario operacion favor stop haba reconocido monsima va pareciendo teleeca chochona qu,"['pilar', 'cario', 'operacion', 'favor', 'stop', 'haba', 'reconocido', 'monsima', 'va', 'pareciendo', 'teleeca', 'chochona', 'qu']","['😢', '😢']",neg,mary.jane1975,[]
98,"Muñeca de cera. Sin expresión en la cara… te has pasado con el botox, labios deformados incluso… cada vez se destroza más la cara… no lo entiendo",mueca cera expresin cara pasado botox labio deformado incluso cada vez destroza ms cara entiendo,"['mueca', 'cera', 'expresin', 'cara', 'pasado', 'botox', 'labio', 'deformado', 'incluso', 'cada', 'vez', 'destroza', 'ms', 'cara', 'entiendo']",[],neg,lebrijo27,[]
99,"Pero si estás muchísimo más linda sin maquillaje,wau 😍",si est muchsimo ms linda maquillaj wau,"['si', 'est', 'muchsimo', 'ms', 'linda', 'maquillaj', 'wau']",['😍'],neg,samy_nfono,[]
100,Beauty😍😍😍,beauti,['beauti'],"['😍', '😍', '😍']",neu,sara_bakhtiarizade,[]
101,@melyandyako este es el maquillaje “EXPRESS” que tenemos que hacernos antes de salir para vernos así de divinas hermana. Si es que ya sabía yo que algo no estábamos haciendo bien… 😂,maquillaj express hacerno salir verno as divina hermana si saba estbamo haciendo bien,"['maquillaj', 'express', 'hacerno', 'salir', 'verno', 'as', 'divina', 'hermana', 'si', 'saba', 'estbamo', 'haciendo', 'bien']",['😂'],neg,wendy_barillas,['melyandyako']
102,@wendy_barillas vamos. Todo mal! 🤣🤣🤣🤣🤣,vamo mal,"['vamo', 'mal']","['🤣', '🤣', '🤣', '🤣', '🤣']",neg,melyandyako,['wendy_barillas']
103,Que Alegría echarte el desmaquillante y estar igual de pintada 😅….,alegra echart desmaquillant igual pintada,"['alegra', 'echart', 'desmaquillant', 'igual', 'pintada']",['😅'],neg,monikgaleas,[]
104,"Sin ánimo de ofender, yo te veo igual que cuando has empezado a maquillarte…",nimo ofend veo igual empezado maquillart,"['nimo', 'ofend', 'veo', 'igual', 'empezado', 'maquillart']",[],neg,rociodspl,[]
105,🔥🔥🔥,,[],"['🔥', '🔥', '🔥']",neu,carmensangi,[]
106,q su-.Q bn,q suq bn,"['q', 'suq', 'bn']",[],neu,daviid.tenaa,[]
107,Alguien sabe que pinta labios es?,alguien sabe pinta labio,"['alguien', 'sabe', 'pinta', 'labio']",[],neg,arodrigueza85,[]
108,👌😍,,[],"['👌', '😍']",neu,cintiha10,[]
109,Uy señor!!! Yo me cansé con el primer potingue...Maquillaje exprés dice...,uy seor can primer potingu maquillaj expr dice,"['uy', 'seor', 'can', 'primer', 'potingu', 'maquillaj', 'expr', 'dice']",[],neg,teresa.f.r,[]
110,"Aunque la mona se vista de seda,,,,,,,,",aunqu mona vista seda,"['aunqu', 'mona', 'vista', 'seda']",[],pos,josepfdgta,[]
111,Madre mia pero si está maquillada ya jajajaja,madr mia si est maquillada jajajaja,"['madr', 'mia', 'si', 'est', 'maquillada', 'jajajaja']",[],neg,ana.arroyoalmanchel,[]
112,Te has pasado con esos labios que te has puesto no te toques mas la cara porque te la estás estropeando 😮,pasado labio puesto toqu ma cara est estropeando,"['pasado', 'labio', 'puesto', 'toqu', 'ma', 'cara', 'est', 'estropeando']",['😮'],neg,matilde_mh,[]
113,"Qué envidiosas sois, madre mía….",qu envidiosa madr ma,"['qu', 'envidiosa', 'madr', 'ma']",[],neu,belenssba,[]
114,Pero si está totalmente operada e infiltrada de todo. Si no puede desmaquillarse ya lo lleva todo puesto.,si est totalment operada infiltrada si pued desmaquillars lleva puesto,"['si', 'est', 'totalment', 'operada', 'infiltrada', 'si', 'pued', 'desmaquillars', 'lleva', 'puesto']",[],neg,lauramarinasgutierrez,[]
115,Me tendría que levantar a las 5 para poder irme a trabajar,tendra levantar 5 poder irm trabajar,"['tendra', 'levantar', '5', 'poder', 'irm', 'trabajar']",[],neg,mariajoseee1123,[]
116,❤️❤️❤️ guapísima Pilar!,guapsima pilar,"['guapsima', 'pilar']","['❤', '❤', '❤']",neu,isabel.lopezlopez,[]
117,Eres tan guapa que sin maquillaje parece que estuvieras maquillada 😍😍,tan guapa maquillaj parec maquillada,"['tan', 'guapa', 'maquillaj', 'parec', 'maquillada']","['😍', '😍']",neg,atenasgarzon,[]
118,بناات اتعلمن اتحطن مكياج م̷ـــِْن مرت اخووي ❤️❤️,,[],"['❤', '❤']",neu,ra_3os,[]
119,Poco se habla de los retoques 😜💉🩹,habla retoqu,"['habla', 'retoqu']","['😜', '💉', '🩹']",neu,inesm2013,[]
120,"Me canso sólo de verla, a que hora ahí que levantarse a las 5 de la mañana? Total si antes de des maquillarse se le ve el filtro, no entiendo absolutamente nada de nada, 🤦‍♀️, y con el labio superior se han pasado un poquito no, con las salchicha Frankfurt en fin",canso slo verla hora ah levantars 5 maana total si de maquillars ve filtro entiendo absolutament labio superior pasado poquito salchicha frankfurt fin,"['canso', 'slo', 'verla', 'hora', 'ah', 'levantars', '5', 'maana', 'total', 'si', 'de', 'maquillars', 've', 'filtro', 'entiendo', 'absolutament', 'labio', 'superior', 'pasado', 'poquito', 'salchicha', 'frankfurt', 'fin']","['🤦', '♀']",neg,maricarmenamorosmartinez,[]
121,Ты очень красивая люблю,,[],[],neu,jasolian17,[]
122,Vaya labios....demasiado grandes..,vaya labio demasiado grand,"['vaya', 'labio', 'demasiado', 'grand']",[],neg,verginiavaduva,[]
123,Estas preciosa y perfecta 😘 guapísima 👏👏👏👏,preciosa perfecta guapsima,"['preciosa', 'perfecta', 'guapsima']","['😘', '👏', '👏', '👏', '👏']",pos,vivescuartell,[]
124,Que son las gotas que té primer en primer lugar de base?,gota t primer primer lugar base,"['gota', 't', 'primer', 'primer', 'lugar', 'base']",[],neg,mariar_gonzy,[]
125,Madre mia con bótox el frente y tatuados los labios los ojos con filtro,madr mia btox frent tatuado labio ojo filtro,"['madr', 'mia', 'btox', 'frent', 'tatuado', 'labio', 'ojo', 'filtro']",[],neu,mabelminion,[]
126,Que guapa,guapa,['guapa'],[],neu,annabema5,[]
127,"Maquillaje express??? Más todo el maquillaje que llevabas antes de empezar el vídeo... Ay Pili, no nos quieras engañar que no cuela...😂😂😂",maquillaj express ms maquillaj llevaba empezar vdeo ay pili quiera engaar cuela,"['maquillaj', 'express', 'ms', 'maquillaj', 'llevaba', 'empezar', 'vdeo', 'ay', 'pili', 'quiera', 'engaar', 'cuela']","['😂', '😂', '😂']",neg,maria_josebf,[]
128,Que lástima….con lo guapa que eres y ahora se te ve súper artificial,lstimacon guapa ahora ve sper artifici,"['lstimacon', 'guapa', 'ahora', 've', 'sper', 'artifici']",[],neg,demelmak8,[]
129,Wow!!!!🔥🔥❤️❤️❤️👏👏,wow,['wow'],"['🔥', '🔥', '❤', '❤', '❤', '👏', '👏']",neu,mihalorry,[]
130,❤️❤️❤️❤️❤️,,[],"['❤', '❤', '❤', '❤', '❤']",neu,edithmanzurvega,[]
131,Belíssima! 🥰,belssima,['belssima'],['🥰'],neu,valerianogueiravieira,[]
132,😍😍,,[],"['😍', '😍']",neu,abdelhamed.12,[]
133,🥰❤️,,[],"['🥰', '❤']",neu,juanjose.aguila,[]
