,comment,cl_comment,wordlist,emojis,sent,user,mentioned
116,🙌❤️❤️❤️j,j,['j'],"['🙌', '❤', '❤', '❤']",pos,httpsvt.tiktok.comzgja6ge5w,[]
117,😢,,[],['😢'],pos,httpsvt.tiktok.comzgja6ge5w,[]
118,wife,wife,['wife'],[],pos,eliotdelucia0,[]
119,Lb,lb,['lb'],[],pos,burswood.health,[]
120,Lbbbb,lbbbb,['lbbbb'],[],pos,burswood.health,[]
121,Fiirrsttt,fiirrsttt,['fiirrsttt'],[],pos,burswood.health,[]
122,Roowww,roowww,['roowww'],[],pos,burswood.health,[]
123,Row,row,['row'],[],pos,burswood.health,[]
124,Lb fast,lb fast,"['lb', 'fast']",[],pos,blkearthseaspirits,[]
125,Lb,lb,['lb'],[],pos,blkearthseaspirits,[]
126,Row,row,['row'],[],pos,blkearthseaspirits,[]
127,Lb fast,lb fast,"['lb', 'fast']",[],pos,blkearthseaspirits,[]
128,Lb if you love food 😍,lb love food,"['lb', 'love', 'food']",['😍'],pos,blkearthseaspirits,[]
129,6 rows,6 row,"['6', 'row']",[],pos,blkearthseaspirits,[]
130,Lb row,lb row,"['lb', 'row']",[],pos,blkearthseaspirits,[]
131,Row,row,['row'],[],pos,blkearthseaspirits,[]
132,Lb,lb,['lb'],[],pos,blkearthseaspirits,[]
133,👏,,[],['👏'],pos,blkearthseaspirits,[]
134,firstyy 😍😍😍,firstyy,['firstyy'],"['😍', '😍', '😍']",pos,marisolbalderass,[]
135,lblblbbbb🔥🔥,lblblbbbb,['lblblbbbb'],"['🔥', '🔥']",pos,marisolbalderass,[]
136,Pmo,pmo,['pmo'],[],pos,mamiluvchris,[]
137,Why don't you take pictures with a booker?,nt take pictur booker,"['nt', 'take', 'pictur', 'booker']",[],pos,_nbayoung92_,[]
138,Lb row instantly,lb row instantli,"['lb', 'row', 'instantli']",[],pos,makemeuphomedecor,[]
139,Row instantly,row instantli,"['row', 'instantli']",[],pos,makemeuphomedecor,[]
140,Row instantly,row instantli,"['row', 'instantli']",[],pos,makemeuphomedecor,[]
141,@sbsiseher mesajlara bakma şansın var ? 🙏🏼,mesajlara bakma ansn var,"['mesajlara', 'bakma', 'ansn', 'var']","['🙏', '🏼']",pos,fashionstyleestreet,['sbsiseher']
142,@sbsiseher DM 🙏🏼,dm,['dm'],"['🙏', '🏼']",pos,fashionstyleestreet,['sbsiseher']
143,🔥🔥,,[],"['🔥', '🔥']",pos,jagdishpanwar2608gmail.com8,[]
144,"make love to me if you love yourself deeply i love you deeply wild romantic passionate orgasmic art
HUMAN BEINGS NEED LOVE AND EMPATHY, HELP, KINDNESS, LOYALTY, INTELLIGENCE FROM OTHER PEOPLE",make love love deepli love deepli wild romant passion orgasm art human be need love empathi help kind loyalti intellig peopl,"['make', 'love', 'love', 'deepli', 'love', 'deepli', 'wild', 'romant', 'passion', 'orgasm', 'art', 'human', 'be', 'need', 'love', 'empathi', 'help', 'kind', 'loyalti', 'intellig', 'peopl']",[],pos,conciencia_profunda_vibracion,[]
145,Cfc,cfc,['cfc'],[],pos,jenncoello16,[]
146,😍😍😍,,[],"['😍', '😍', '😍']",pos,jenncoello16,[]
147,Likess,likess,['likess'],[],pos,jenncoello16,[]
148,The Jenner sisters 😍😍,jenner sister,"['jenner', 'sister']","['😍', '😍']",pos,dubonheur_elion_,[]
149,lblb,lblb,['lblb'],[],pos,magggie_louu,[]
150,lblb,lblb,['lblb'],[],pos,magggie_louu,[]
151,肯豆叫我瘦到100斤,100,['100'],[],pos,we.ndy8807,[]
152,😍😍😍😍,,[],"['😍', '😍', '😍', '😍']",pos,farmar_life003,[]
153,precede,preced,['preced'],[],pos,ch.andran6655,[]
154,miniature,miniatur,['miniatur'],[],pos,uriukinanadezhda,[]
155,hour,hour,['hour'],[],pos,lusyjaebae,[]
156,good,good,['good'],[],pos,onkhannanova,[]
157,😍,,[],['😍'],pos,lalubambangselamat,[]
158,🔥🔥🔥🔥🔥🔥🔥🔥🔥👏👏👏🙌🙌🙌😍😍😍😍,,[],"['🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '👏', '👏', '👏', '🙌', '🙌', '🙌', '😍', '😍', '😍', '😍']",pos,wagnermartins410,[]
159,Uma mais bela do q a outra mais as duas são maravilhosas e muito sexy,uma mai bela q outra mai dua maravilhosa e muito sexi,"['uma', 'mai', 'bela', 'q', 'outra', 'mai', 'dua', 'maravilhosa', 'e', 'muito', 'sexi']",[],pos,wagnermartins410,[]
160,bake,bake,['bake'],[],pos,dayvonn.176,[]
161,health,health,['health'],[],pos,skatervasia,[]
162,"𝑯𝒆𝒚, 𝒔𝒆𝒆 𝒎𝒚 𝒍𝒂𝒔𝒕 𝒓𝒆𝒆𝒍 💓☺️",,[],"['💓', '☺']",pos,paullinhaschmitt,[]
163,Mmcaio. Mmcaip❤️,mmcaio mmcaip,"['mmcaio', 'mmcaip']",['❤'],pos,mmcaio8,[]
164,Rows,row,['row'],[],pos,hempavida,[]
165,Cb,cb,['cb'],[],pos,hempavida,[]
166,Lb,lb,['lb'],[],pos,hempavida,[]
167,INSTANT LB✨,instant lb,"['instant', 'lb']",['✨'],pos,chachimochii,[]
168,who who who who,,[],[],pos,im.the.helicopter.man,[]
169,ooh,ooh,['ooh'],[],pos,im.the.helicopter.man,[]
170,elderly,elderli,['elderli'],[],pos,marinakraft18,[]
171,#SDV #foy #followｍe p,sdv foy follow p,"['sdv', 'foy', 'follow', 'p']",[],pos,tacila.st,[]
172,recess,recess,['recess'],[],pos,clemdukssy,[]
173,you went to his game and play as ass for the helicopter man who  Devin Booker the paparazzi  I see you got  Kylie right  there play as ass for the helicopter man ooouuu,went game play ass helicopt man devin booker paparazzi see got kyli right play ass helicopt man ooouuu,"['went', 'game', 'play', 'ass', 'helicopt', 'man', 'devin', 'booker', 'paparazzi', 'see', 'got', 'kyli', 'right', 'play', 'ass', 'helicopt', 'man', 'ooouuu']",[],neg,im.the.helicopter.man,[]
174,rabbit,rabbit,['rabbit'],[],pos,chateau_de_cor,[]
175,nine,nine,['nine'],[],pos,kugushev84,[]
176,pathetic,pathet,['pathet'],[],pos,prikaztatiana,[]
177,second-hand,secondhand,['secondhand'],[],pos,f0lil,[]
178,Banasur Instagram,banasur instagram,"['banasur', 'instagram']",[],pos,gaddamidhi.srilatha,[]
179,❤️❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍🔥,,[],"['❤', '❤', '❤', '❤', '❤', '❤', '❤', '❤', '❤', '😍', '😍', '😍', '😍', '😍', '😍', '🔥']",pos,el_trabajador24,[]
180,❤️,,[],['❤'],pos,saclo0,[]
181,reject,reject,['reject'],[],neg,nata2475v,[]
182,three,three,['three'],[],pos,rigos.950,[]
183,challenge,challeng,['challeng'],[],pos,missalisax,[]
184,follow,follow,['follow'],[],pos,atowings,[]
185,Lbbb,lbbb,['lbbb'],[],pos,jj.enggggg,[]
186,Row,row,['row'],[],pos,jj.enggggg,[]
187,"❤️❤️❤️🙏🏽🙏🏽🙏🏽🧘‍♀️🧘‍♀️🧘‍♀️
Please hit me up in my DM
I have one question for you sister",pleas hit dm one question sister,"['pleas', 'hit', 'dm', 'one', 'question', 'sister']","['❤', '❤', '❤', '🙏', '🏽', '🙏', '🏽', '🙏', '🏽', '🧘', '♀', '🧘', '♀', '🧘', '♀']",pos,orissaqueen,[]
188,bite-sized,bites,['bites'],[],pos,p.munaswamy,[]
189,Lblb,lblb,['lblb'],[],pos,tuclisi,[]
190,Lblb ❤️❤️,lblb,['lblb'],"['❤', '❤']",pos,tuclisi,[]
191,wrong,wrong,['wrong'],[],neg,praka3884,[]
192,Lblb ❤️❤️,lblb,['lblb'],"['❤', '❤']",pos,tuclisi,[]
193,flow,flow,['flow'],[],pos,nishayadav322,[]
194,Hii,hii,['hii'],[],pos,parveen_2529,[]
195,Hio,hio,['hio'],[],pos,parveen_2529,[]
196,好好好,,[],[],pos,hanyue666888,[]
197,blue-eyed,blueey,['blueey'],[],pos,si.taram17,[]
198,lb and cb,lb cb,"['lb', 'cb']",[],pos,howie_everland,[]
199,3x3,3x3,['3x3'],[],pos,cherryraemccullagh,[]
200,3x3,3x3,['3x3'],[],pos,cherryraemccullagh,[]
201,🔥🔥🔥🔥🔥,,[],"['🔥', '🔥', '🔥', '🔥', '🔥']",pos,geraldinmore,[]
202,low,low,['low'],[],neg,prince_nagar7,[]
203,government,govern,['govern'],[],pos,busy8860,[]
204,racial,racial,['racial'],[],pos,shivaraj.ramesh.salunk,[]
205,❤️❤️,,[],"['❤', '❤']",pos,bilals_jewlery1,[]
206,Lb,lb,['lb'],[],pos,danielaichiyanagui,[]
207,Lb,lb,['lb'],[],pos,danielaichiyanagui,[]
208,kind,kind,['kind'],[],pos,rli1mma,[]
209,Beautiful sexy ladie,beauti sexi ladi,"['beauti', 'sexi', 'ladi']",[],pos,vetterwilliamj,[]
210,Lb,lb,['lb'],[],pos,kat.givens,[]
211,R😍w,rw,['rw'],['😍'],pos,jenncoello16,[]
212,"پویش همدلانه برای کمک به حداقل صد هزار نفر از هموطنان مومن و کمتر برخوردار در قالب اطعام و اهدای بسته های کمک معیشتی
شماره کارت:
6037-9974-1709-0017
بنیاد خیریه یاس بقیه الله اعظم (عج)",6037997417090017,['6037997417090017'],[],pos,dalida.jewelry,[]
213,uneven,uneven,['uneven'],[],pos,pepel.lena,[]
214,"Hi, are you going „Rumpelstilzchen“ in the next minutes?",hi go rumpelstilzchen next minut,"['hi', 'go', 'rumpelstilzchen', 'next', 'minut']",[],pos,pascalrechtien,[]
215,Lb,lb,['lb'],[],pos,abrhameosorio,[]
216,LBBBBBBBB,lbbbbbbbb,['lbbbbbbbb'],[],pos,scarlettsaldana,[]
217,👏👏👏,,[],"['👏', '👏', '👏']",pos,_____tammylee,[]
218,Gorgeous!!,gorgeou,['gorgeou'],[],pos,cmahecha32,[]
219,Lblblb,lblblb,['lblblb'],[],pos,rachelllmarie,[]
220,Lb,lb,['lb'],[],pos,rachelllmarie,[]
221,Lbb,lbb,['lbb'],[],pos,rachelllmarie,[]
222,Lb,lb,['lb'],[],pos,kat.givens,[]
223,🔥,,[],['🔥'],pos,aarvindlds,[]
224,❤️,,[],['❤'],pos,gabriele__16,[]
225,Kendall is the least interesting of the sisters. It's almost like she's not in the family.,kendal least interest sister almost like famili,"['kendal', 'least', 'interest', 'sister', 'almost', 'like', 'famili']",[],neg,laurenptg38,[]
226,Lb,lb,['lb'],[],pos,danielaichiyanagui,[]
227,Lb,lb,['lb'],[],pos,danielaichiyanagui,[]
228,Lb,lb,['lb'],[],pos,danielaichiyanagui,[]
229,Lb,lb,['lb'],[],pos,danielaichiyanagui,[]
230,Lb,lb,['lb'],[],pos,danielaichiyanagui,[]
231,Helo super I like u,helo super like u,"['helo', 'super', 'like', 'u']",[],pos,tashnandu123,[]
232,Ur perfect 😍,ur perfect,"['ur', 'perfect']",['😍'],pos,ur_mothers_toe_jam,[]
233,💜,,[],['💜'],pos,limmmmmmmmmmmmmmmmm_,[]
234,😍😍😍😍,,[],"['😍', '😍', '😍', '😍']",pos,yadwindersingh19803961,[]
235,so brave huaaaaggggghjhjj,brave huaaaaggggghjhjj,"['brave', 'huaaaaggggghjhjj']",[],pos,jimarcus98,[]
236,"THATS BETTER THEN OTHER PIC WITH RIPPED PIECES BARELY THERE,",that better pic rip piec bare,"['that', 'better', 'pic', 'rip', 'piec', 'bare']",[],pos,klr.44.1966,[]
237,Lbbbbbb,lbbbbbb,['lbbbbbb'],[],pos,beachglassgems,[]
238,LB instant ✨,lb instant,"['lb', 'instant']",['✨'],pos,beachglassgems,[]
239,LB,lb,['lb'],[],pos,beachglassgems,[]
240,Lbbb,lbbb,['lbbb'],[],pos,rachelllmarie,[]
241,Lblblb,lblblb,['lblblb'],[],pos,rachelllmarie,[]
242,Hai😍😍,hai,['hai'],"['😍', '😍']",pos,mvjisna,[]
243,Lb,lb,['lb'],[],pos,kat.givens,[]
244,Lb,lb,['lb'],[],pos,trin_vdb6,[]
245,Give us a follow? Daily puppy content 🥰🥺🐾🐕 @pearlgsd #germanshepherdpuppy,give us follow daili puppi content germanshepherdpuppi,"['give', 'us', 'follow', 'daili', 'puppi', 'content', 'germanshepherdpuppi']","['🥰', '🥺', '🐾', '🐕']",pos,pearlgsd,['pearlgsd']
246,Lb,lb,['lb'],[],pos,kat.givens,[]
247,1st lbbbb,1st lbbbb,"['1st', 'lbbbb']",[],pos,sonam.schaffer,[]
248,What’s the name of the track doe?🫠,name track doe,"['name', 'track', 'doe']",['\U0001fae0'],pos,bow.leng,[]
249,❤️❤️,,[],"['❤', '❤']",pos,lisizquierdoal,[]
250,🔥🔥0,0,['0'],"['🔥', '🔥']",pos,lisizquierdoal,[]
251,😍😍,,[],"['😍', '😍']",pos,lisizquierdoal,[]
252,i love you because you love yourself you are intelligent talented passionate incredible legendary beautiful sexy orgasmic passionate cheerful happy,love love intellig talent passion incred legendari beauti sexi orgasm passion cheer happi,"['love', 'love', 'intellig', 'talent', 'passion', 'incred', 'legendari', 'beauti', 'sexi', 'orgasm', 'passion', 'cheer', 'happi']",[],pos,conciencia_profunda_vibracion,[]
253,1sts 🔥,1st,['1st'],['🔥'],pos,usyed22,[]
254,i love you because you love yourself you are intelligent talented passionate incredible legendary beautiful sexy orgasmic passionate cheerful happy,love love intellig talent passion incred legendari beauti sexi orgasm passion cheer happi,"['love', 'love', 'intellig', 'talent', 'passion', 'incred', 'legendari', 'beauti', 'sexi', 'orgasm', 'passion', 'cheer', 'happi']",[],pos,conciencia_profunda_vibracion,[]
255,Pretty girl,pretti girl,"['pretti', 'girl']",[],pos,kkkpaja,[]
256,Follow,follow,['follow'],[],pos,geritakipgelx,[]
257,❤️❤️❤️,,[],"['❤', '❤', '❤']",pos,nyoman.santika.56679,[]
258,هااااي,,[],[],pos,bwlmjnwny,[]
259,🔥,,[],['🔥'],pos,alwassteve,[]
